business,latitude,longitude,region
"KING LAUNDROMAT CENTER, INC.",40.81953659,-73.94059981,Upper Manhattan
228 GREEN LAUNDROMAT INC,40.82338947,-73.93923422,Upper Manhattan
FANG CLEANER NY INC,40.77639215,-73.95227884,Upper Manhattan
NYC FAMILY LAUNDROMAT INC.,40.86395063,-73.92501778,Upper Manhattan
S & D LAUNDERETTE INC.,40.78392051,-73.97806319,Upper Manhattan
DAE YOUNG NEW YORK CORP.,40.79304714,-73.96800218,Upper Manhattan
"IPANEMA LAUNDRY, INC.",40.79907718,-73.95183999,Upper Manhattan
"THE MAT TWO, INC",40.77505076,-73.94777749,Upper Manhattan
4841 WASHRITE CORPORATION,40.86652785,-73.92494256,Upper Manhattan
"MEKONG LAUNDROMAT & CLEANERS, INC.",40.77538824,-73.94750643,Upper Manhattan
3607 BROADWAY REALTY LLC,40.82859264,-73.94888453,Upper Manhattan
CLASSIC LAUNDRY 145 LLC,40.82240499,-73.9409152,Upper Manhattan
S-ELEVEN LAUNDRY INC,40.80245333,-73.96804461,Upper Manhattan
A R J SERVICES  INC.,40.7772768,-73.9543796,Upper Manhattan
"BABY GIRL'S BUBBLES & CLEANERS, INC.",40.80654089,-73.95380687,Upper Manhattan
OLD BROADWAY LAUNDROMAT CORP,40.82950633,-73.94821895,Upper Manhattan
"DAPPER DUDS LAUNDROMAT, INC.",40.77431796,-73.95435274,Upper Manhattan
N Y WASH INC.,40.7912203,-73.97244868,Upper Manhattan
KE IMMACULATE LAUNDRY INC.,40.86638342,-73.91838425,Upper Manhattan
MING CLEANER & ALTERATION INC,40.77121825,-73.95212008,Upper Manhattan
7 AVE & 129 STREET LAUNDROMAT & DRY CLEANING INC,40.81125324,-73.94665089,Upper Manhattan
"HUDSON VIEW CLEANERS, INC.",40.77292946,-73.98950095,Upper Manhattan
116 STREET LAUNDROMAT AND DRY CLEANING INC,40.80377424,-73.95386658,Upper Manhattan
510 NEW STARLIGHT LAUNDROMAT INC.,40.87146122,-73.91474418,Upper Manhattan
CHESTERFIELD CLEANERS CO. INC.,40.78351155,-73.97804888,Upper Manhattan
FIFTH AVENUE LAUNDROMAT & DRY CLEANING INC.,40.80304013,-73.9447467,Upper Manhattan
ONE DAY LAUNDROMAT INC.,40.83094408,-73.94716629,Upper Manhattan
"P&K LAUNDROMAT, INC.",40.78427448,-73.9775142,Upper Manhattan
"KANG & KANGHEE, INC.",40.77783575,-73.97978026,Upper Manhattan
SOAP'N SUDS L.L.C.,40.77896345,-73.97767486,Upper Manhattan
