Industry,Business Name,Longitude,Latitude,Location
Garage,CHAMPION PARKING 68 LLC,-73.97776687,40.77375396,"(40.773753955751594, -73.97776687182275)"
Garage,"550 WEST 25TH CAR PARK, LLC",-74.00487595,40.74966264,"(40.749662643540326, -74.00487594891239)"
Garage,LA MARINA PARKING LLC,-73.92917929,40.86710966,"(40.86710965901609, -73.92917928857699)"
Garage,300 E. 34 PARKING LLC,-73.97578807,40.74473063,"(40.744730633043375, -73.9757880681296)"
Garage,"ABM INDUSTRY GROUPS, LLC",-73.98237763,40.74564583,"(40.74564583140683, -73.98237762904651)"
Garage,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",-73.97116129,40.75352374,"(40.75352374061433, -73.97116129485991)"
Garage,MP 41 LLC,-73.99450971,40.75921159,"(40.75921158697373, -73.994509710213)"
Garage,"MUTUAL PARKING SYSTEM, INC.",-73.96103496,40.76329205,"(40.763292051127415, -73.96103496347446)"
Garage,QUIK PARK TRUFFLES LLC,-73.99413851,40.75246498,"(40.75246498456307, -73.99413850914024)"
Garage,FREMAN GARAGE CORP.,-73.97191517,40.78891459,"(40.78891459455307, -73.97191516531355)"
Garage,EAST 81ST REALTY LLC,-73.95761544,40.77614995,"(40.776149951057945, -73.95761544497206)"
Garage,PROPARK AMERICA NEW YORK LLC,-73.97415976,40.73725907,"(40.73725906616648, -73.974159755213)"
Garage,VALET PARKING CORP.,-73.99379346,40.73696536,"(40.73696536466138, -73.99379346117647)"
Garage,10 WEST 66TH STREET CAR PARK LLC,-73.97932331,40.77265909,"(40.77265909494036, -73.97932331414397)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.98657207,40.7592274,"(40.75922740367878, -73.98657206908341)"
Garage,SP PLUS CORPORATION,-73.99457248,40.7419636,"(40.7419635970152, -73.9945724798417)"
Garage,CHAMPION PARKING 76 ST LLC.,-73.98007529,40.78134357,"(40.78134357469427, -73.98007528666675)"
Garage,10 WEST 21ST LLC,-73.99105057,40.74047847,"(40.74047846683586, -73.99105056517622)"
Garage,SEWARD PARK GARAGE LLC,-73.98633552,40.71582735,"(40.71582734941432, -73.98633551568459)"
Garage,SP PLUS CORPORATION,-73.95499628,40.77836396,"(40.77836396065379, -73.95499628065888)"
Garage,"ABM INDUSTRY GROUPS, LLC",-73.97448277,40.76067458,"(40.76067458494577, -73.97448276692938)"
Garage,MURRAY 38 PARKING LLC,-73.97671425,40.74843349,"(40.74843349058, -73.97671425441138)"
Garage,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",-73.97535165,40.76353754,"(40.76353754103234, -73.97535165418176)"
Garage,SP PLUS CORPORATION,-73.94694233,40.77193785,"(40.77193784683975, -73.94694232580065)"
Garage,SP PLUS CORPORATION,-73.97483091,40.78506441,"(40.785064408269015, -73.97483091455368)"
Garage,181 EAST 73 STREET GARAGE LLC,-73.96069127,40.77068901,"(40.77068901175136, -73.96069126920963)"
Garage,CHAMPION CONFUCIUS LLC,-73.9973018,40.71407972,"(40.71407971599437, -73.997301804056)"
Garage,"EAST 39TH REALTY, LLC",-73.97518786,40.7477909,"(40.74779090072466, -73.97518785539275)"
Garage,SP PLUS CORPORATION,-73.99589008,40.73523626,"(40.735236264133526, -73.99589007891272)"
Garage,CHAMPION PARKING 80 LLC,-73.95090969,40.7724913,"(40.772491297996105, -73.95090969070989)"
Garage,IMPERIAL PARKING US LLC,-73.98143062,40.77682322,"(40.77682322097574, -73.98143061899712)"
Garage,SAMO PARKING LLC,-73.95469575,40.76898507,"(40.76898507148451, -73.95469575246041)"
Garage,BRISTOL 65 PARKING LLC,-73.96351393,40.76516203,"(40.7651620323398, -73.9635139262716)"
Garage,338 EAST 59TH STREET GARAGE LLC,-73.96276597,40.75994404,"(40.75994403675519, -73.9627659674019)"
Garage,BATTERY 17 PARKING LLC,-74.01592726,40.70488369,"(40.70488368980268, -74.01592725890914)"
Garage,MP WATTS LLC,-74.01021359,40.72430078,"(40.72430077866735, -74.01021358858705)"
Garage,124 WEST 20TH STREET GARAGE LLC,-73.99517517,40.74144487,"(40.74144486591646, -73.99517517423351)"
Garage,W 155 Operating LLC,-73.9405069,40.83051541,"(40.83051541051173, -73.94050689878313)"
Garage,59 AND 5TH PARKING LLC,-73.97318913,40.76402013,"(40.76402013271872, -73.97318913426022)"
Garage,REDBALL OWNERS LLC,-73.98073234,40.74433083,"(40.74433083281106, -73.98073234044917)"
Garage,575 LEX GARAGE LLC,-73.97182746,40.75721559,"(40.757215588426654, -73.97182746323014)"
Garage,SP PLUS CORPORATION,-74.01613786,40.71071628,"(40.71071628312301, -74.01613786041958)"
Garage,TOWER EAST GARAGE CORP.,-73.96151525,40.76924556,"(40.76924555671884, -73.96151524729282)"
Garage,TWO FIFTH GARAGE PARTNERS LLC,-73.99660831,40.73192062,"(40.73192062465118, -73.99660831115821)"
Garage,SP PLUS CORPORATION,-73.91456116,40.87038791,"(40.87038790734767, -73.91456116001805)"
Garage,PARK 108 LLC,-73.96599671,40.80225238,"(40.80225238361694, -73.96599670659785)"
Garage,ONE PARKING 89TH STREET LLC,-73.97455097,40.79002133,"(40.79002133354373, -73.974550968311)"
Garage,CHAMPION PARKING 82 LLC,-73.94655918,40.77250034,"(40.77250034131399, -73.94655917747835)"
Garage,SP PLUS CORPORATION,-73.97590088,40.76209118,"(40.76209117784194, -73.97590088118818)"
Garage,333 EAST 46TH ST. PARKING CORP.,-73.96946198,40.75201095,"(40.75201094718569, -73.9694619845396)"
Garage,CHAMPION PARKING 113 LLC,-73.96064624,40.80411709,"(40.80411709476889, -73.96064624355729)"
Garage,METROPOLITAN 51 PARKING LLC,-73.97204416,40.75691646,"(40.75691646401178, -73.97204416177084)"
Garage,QUIK PARK 3RD AVE LLC,-73.9631198,40.7663147,"(40.76631469833123, -73.96311980008728)"
